description,name,cluster_node,profile,value,read_only,is_disabled,is_specified,encrypted,export_configuration,export_key,export_path
PeSIT local address to bind the daemon to.,Pesit.Listeners.Address,3e4c62419aaea28a215826ee96afa769,Default,0.0.0.0,FALSE,FALSE,TRUE,FALSE,NO value,NO value,NO value
Comma separated list of task processor attributes. Supported only for LEC.,EventQueue.taskProcessor.attributes,3e4c62419aaea28a215826ee96afa769,Default,"PGP=false, PUSH=false, PULL=false, FM_TRIGGERED=false, MAINTENANCE=false",FALSE,FALSE,TRUE,FALSE,NO value,NO value,NO value
Enable/disable legacy firewall friendly mode for ftp.,Ftp.SPEMode.enabled,3e4c62419aaea28a215826ee96afa769,Default,FALSE,FALSE,FALSE,TRUE,FALSE,NO value,NO value,NO value
Allowed pre-auth commands in legacy firewall friendly mode for ftp.,Ftp.SPEMode.preAuthCommands,3e4c62419aaea28a215826ee96afa769,Default,"PORT,PASV,EPSV,EPRT,STRU,MODE,RETR,ABOR,CWD,XCWD,STAT,NOOP,PWD,XPWD,FEAT,SITE FEATURES",FALSE,FALSE,TRUE,FALSE,NO value,NO value,NO value
"Specifies TlsShutdown behaviour in command channel when client issues Clear command channel request. Possible values: none, server, client. 
         			  None: do not send TlsShutdown message just switch to plain TCP. Server: send a TlsShutdown to the client. Client: wait for TlsShutdown to be sent by the client.",Ftp.CCC.TlsShutdownInitiator,3e4c62419aaea28a215826ee96afa769,Default,none,FALSE,FALSE,TRUE,FALSE,NO value,NO value,NO value
How many times Monitor service should try to restart admin service.,Monitor.ADMIN.retryCount,3e4c62419aaea28a215826ee96afa769,Default,3,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.admin.retryCount,NO value
Interval between separate restart retries - in seconds.,Monitor.ADMIN.retryDelay,3e4c62419aaea28a215826ee96afa769,Default,180,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.admin.retryDelay,NO value
How many times Monitor service should try to restart ftpd service.,Monitor.FTPD.retryCount,3e4c62419aaea28a215826ee96afa769,Default,5,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.ftpd.retryCount,NO value
Interval between separate restart retries - in seconds.,Monitor.FTPD.retryDelay,3e4c62419aaea28a215826ee96afa769,Default,60,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.ftpd.retryDelay,NO value
How many times Monitor service should try to restart httpd service.,Monitor.HTTPD.retryCount,3e4c62419aaea28a215826ee96afa769,Default,5,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.httpd.retryCount,NO value
Interval between separate restart retries - in seconds.,Monitor.HTTPD.retryDelay,3e4c62419aaea28a215826ee96afa769,Default,60,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.httpd.retryDelay,NO value
How many times Monitor service should try to restart as2d service.,Monitor.AS2D.retryCount,3e4c62419aaea28a215826ee96afa769,Default,3,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.as2d.retryCount,NO value
Interval between separate restart retries - in seconds.,Monitor.AS2D.retryDelay,3e4c62419aaea28a215826ee96afa769,Default,180,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.as2d.retryDelay,NO value
How many times Monitor service should try to restart sshd service.,Monitor.SSHD.retryCount,3e4c62419aaea28a215826ee96afa769,Default,5,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.sshd.retryCount,NO value
Interval between separate restart retries - in seconds.,Monitor.SSHD.retryDelay,3e4c62419aaea28a215826ee96afa769,Default,60,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.sshd.retryDelay,NO value
How many times Monitor service should try to restart db service.,Monitor.DB.retryCount,3e4c62419aaea28a215826ee96afa769,Default,5,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.db.retryCount,NO value
Interval between separate restart retries - in seconds.,Monitor.DB.retryDelay,3e4c62419aaea28a215826ee96afa769,Default,60,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.db.retryDelay,NO value
How many times Monitor service should try to restart TM service.,Monitor.TM.retryCount,3e4c62419aaea28a215826ee96afa769,Default,3,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.tm.retryCount,NO value
Interval between separate restart retries - in seconds.,Monitor.TM.retryDelay,3e4c62419aaea28a215826ee96afa769,Default,180,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.tm.retryDelay,NO value
How many times Monitor service should try to restart pesitd service.,Monitor.PESITD.retryCount,3e4c62419aaea28a215826ee96afa769,Default,5,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.pesitd.retryCount,NO value
Interval between separate restart retries - in seconds.,Monitor.PESITD.retryDelay,3e4c62419aaea28a215826ee96afa769,Default,120,FALSE,FALSE,TRUE,FALSE,monitor.properties,monitor.pesitd.retryDelay,NO value
"The IP address (IPv4 or IPv6) on the local machine used for inter cluster communication. This option is used in both Standard Cluster and Large Enterprise Cluster. 
         			  LEC uses it to bind the Coherence listener while SC uses it for HTTP sync messaging.",Cluster.Communication.Host,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,FALSE,FALSE,cache.management,NO value,/coherence/cluster-config/unicast-listener/localhost
"When this configuration has value ""true"" it will allow SIT pull using a wildcard kicks off to create a temporary 0-byte file, owned by root and named with the literal wildcard to be created on disk and treat as a transfer by the file tracking.",ZeroByteWildcardPullAllowed,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@enabled,/Configuration/Modules/TransactionManager/ZeroByteWildcardPull
The default admin name is admin. This parameter is supported only for Standard Cluster.,Cluster.DynamicSync.adminName,3e4c62419aaea28a215826ee96afa769,Default,admin,FALSE,FALSE,TRUE,FALSE,configuration.xml,@adminName,/Configuration/Modules/Cluster/DynamicSync
The URI to which data will get POSTed. This parameter is supported only for Standard Cluster.,Cluster.DynamicSync.uri,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@uri,/Configuration/Modules/Cluster/DynamicSync
"The default value is com.tumbleweed.st.server.sync.provider.http.HttpClientOutputStream. This class is implemented as an HTTP POST based transport of bytes. The HTTP client used is the Apache HttpClient
 				      class. A limitation of this class is that POST data needs to be read from an {@code InputStream} and therefore a
 					  mechanism is needed to convert the data written to this stream to a format suitable for use by the HttpClient class. This parameter is supported only for Standard Cluster.",Cluster.DynamicSync.httpClassName,3e4c62419aaea28a215826ee96afa769,Default,com.tumbleweed.st.server.sync.provider.http.HttpClientOutputStream,FALSE,FALSE,TRUE,FALSE,configuration.xml,@httpClassName,/Configuration/Modules/Cluster/DynamicSync
Not defined by default. This parameter is supported only for Standard Cluster.,Cluster.DynamicSync.keyAlias,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,TRUE,FALSE,configuration.xml,@keyAlias,/Configuration/Modules/Cluster/DynamicSync
Boolean to indicate if peer certificate validation is required. The default value is false. This parameter is supported only for Standard Cluster.,Cluster.DynamicSync.peerValidation,3e4c62419aaea28a215826ee96afa769,Default,FALSE,FALSE,FALSE,TRUE,FALSE,configuration.xml,@peerValidation,/Configuration/Modules/Cluster/DynamicSync
The default scheduler name is Scheduler.,Cluster.Service.Scheduler.name,3e4c62419aaea28a215826ee96afa769,Default,Scheduler,FALSE,FALSE,TRUE,FALSE,configuration.xml,@name,"/Configuration/Modules/Cluster/Service[@name=""Scheduler""]"
Name for the FolderMonitor service. The default is FolderMonitor. This parameter is supported only for Standard Cluster.,Cluster.Service.FolderMonitor.name,3e4c62419aaea28a215826ee96afa769,Default,FolderMonitor,FALSE,FALSE,TRUE,FALSE,configuration.xml,@name,"/Configuration/Modules/Cluster/Service[@name=""FolderMonitor""]"
This is the ST installation home directory. This parameter is supported only for Standard Cluster.,Cluster.Service.FolderMonitor.File.configurationFile.relative,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@relative,"/Configuration/Modules/Cluster/Service[@name=""FolderMonitor""]/File[@alias=""configurationFile""]"
Whether Folder Monitor service is enabled <true|false>.,FolderMonitor.enable,3e4c62419aaea28a215826ee96afa769,Default,TRUE,FALSE,FALSE,TRUE,FALSE,configuration.xml,@enable,/Configuration/Modules/FolderMonitor
The frontend host to use for returning an asynchronous MDN receipt over ssl [accessible through admin GUI].,As2.SSL.Listener.Host,3e4c62419aaea28a215826ee96afa769,Default,0,FALSE,FALSE,TRUE,FALSE,configuration.xml,@host,"/Configuration/Modules/As2/Listeners/Listener[@ssl=""true""]"
Defines the host used for TM non-ssl listener.,TransactionManager.NonSSL.Listener.Host,3e4c62419aaea28a215826ee96afa769,Default,localhost,FALSE,FALSE,TRUE,FALSE,configuration.xml,@host,"/Configuration/Modules/TransactionManager/Listeners/Listener[@ssl=""false""]"
Configures the host for SSL listener. It's not configured by default. This parameter is supported only for Standard Cluster.,Cluster.Listeners.Listener.host.SSL,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,TRUE,FALSE,configuration.xml,@host,/Configuration/Modules/Cluster/Listeners/Listener
How much time (in milliseconds) a thread from the thread pool should stay idle before it's stopped for EventQueueMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.EventQueueMessageProcessing.idleTime,3e4c62419aaea28a215826ee96afa769,Default,60,FALSE,FALSE,TRUE,FALSE,configuration.xml,@idleTime,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""EventQueueMessageProcessing""]"
How much time (in milliseconds) a thread from the thread pool should stay idle before it's stopped for TransferStatusMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.TransferStatusMessageProcessing.idleTime,3e4c62419aaea28a215826ee96afa769,Default,60,FALSE,FALSE,TRUE,FALSE,configuration.xml,@idleTime,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""TransferStatusMessageProcessing""]"
The minimum number of threads for TransferStatusMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.TransferStatusMessageProcessing.minThreads,3e4c62419aaea28a215826ee96afa769,Default,3,FALSE,FALSE,TRUE,FALSE,configuration.xml,@minThreads,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""TransferStatusMessageProcessing""]"
The frontend host to use for returning an asynchronous MDN receipt  [accessible through admin GUI].,As2.NonSSL.Listener.Host,3e4c62419aaea28a215826ee96afa769,Default,0,FALSE,FALSE,TRUE,FALSE,configuration.xml,@host,"/Configuration/Modules/As2/Listeners/Listener[@ssl=""false""]"
Path to the scheduler.properties file. The default path is /conf/scheduler.properties. This parameter is supported only for Standard Cluster.,Cluster.Service.Scheduler.File.configurationFile.path,3e4c62419aaea28a215826ee96afa769,Default,/conf/scheduler.properties,FALSE,FALSE,TRUE,FALSE,configuration.xml,@path,"/Configuration/Modules/Cluster/Service[@name=""Scheduler""]/File[@alias=""configurationFile""]"
The host the SSL HTTP server binds to.,HttpsHost,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,TRUE,FALSE,configuration.xml,@host,"/Configuration/Modules/Http/Listeners/Listener[@ssl=""true""]"
"When you need to use port 22 for an AIX server and for SecureTransport, search for the SSH.Host parameter and sets its
					  value to the actual IP address of the host. Note: You must restart SSH daemon after that.	",Ssh.Host,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,TRUE,FALSE,configuration.xml,@host,"/Configuration/Modules/Ssh/Listeners/Listener[@ssl=""true""]"
"This option once is used when configurate active/passive cluster. If you set Cluster.mode to passive_legacy, on the standby server, set
					  FolderMonitor.enable and Scheduler.enable to false. When you remove a server from an active/passive cluster, the result is two stand-alone
					  servers. Then you must set FolderMonitor.enable and Scheduler.enable to true. When the primary server fails in an active/passive cluster with cluster mode set to
					  passive_legacy, you must perform a manual failover on the passive standby server. To do this, set both FolderMonitor.enable and Scheduler.enable to true. Note: This parameter is supported by Standard cluster only.",Scheduler.enable,3e4c62419aaea28a215826ee96afa769,Default,TRUE,FALSE,FALSE,TRUE,FALSE,configuration.xml,@enable,/Configuration/Modules/Scheduler
The maximum number of threads for GeneralMessageProcessing. This parameter is supported only for Standard Cluster.,Cluster.ThreadPools.ThreadPool.GeneralMessageProcessing.maxThreads,3e4c62419aaea28a215826ee96afa769,Default,4,FALSE,FALSE,TRUE,FALSE,configuration.xml,@maxThreads,"/Configuration/Modules/Cluster/ThreadPools/ThreadPool[@name=""GeneralMessageProcessing""]"
"Protocol socket factories are used to uniquely identify Protocols and HostConfigurations, and equals() and hashCode() are required for the correct operation of some connection managers. This parameter is supported only for Standard Cluster.",Cluster.DynamicSync.httpSocketFactory,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@httpSocketFactory,/Configuration/Modules/Cluster/DynamicSync
ST Scheduler cluster service. Reference to com.tumbleweed.st.server.scheduler.SchedulerServerClusterService class. This parameter is supported only for Standard Cluster.,Cluster.Service.Scheduler.className,3e4c62419aaea28a215826ee96afa769,Default,com.tumbleweed.st.server.scheduler.SchedulerServerClusterService,FALSE,FALSE,TRUE,FALSE,configuration.xml,@className,"/Configuration/Modules/Cluster/Service[@name=""Scheduler""]"
Folder monitor cluster service. Reference to com.tumbleweed.st.server.folder.FolderMonitorClusterService class. This parameter is supported only for Standard Cluster.,Cluster.Service.FolderMonitor.className,3e4c62419aaea28a215826ee96afa769,Default,com.tumbleweed.st.server.folder.FolderMonitorClusterService,FALSE,FALSE,TRUE,FALSE,configuration.xml,@className,"/Configuration/Modules/Cluster/Service[@name=""FolderMonitor""]"
Path to the monitor.properties file. The default path is /conf/monitor.properties. This parameter is supported only for Standard Cluster.,Cluster.Service.FolderMonitor.File.configurationFile.path,3e4c62419aaea28a215826ee96afa769,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@path,"/Configuration/Modules/Cluster/Service[@name=""FolderMonitor""]/File[@alias=""configurationFile""]"
Keystore type for user certificate store.,CertificateStores.UserCertificateStore.Keystore.type,UNSPECIFIED,Default,Login,FALSE,FALSE,TRUE,FALSE,configuration.xml,@type,/Configuration/System/CertificateStores/UserCertificateStore/Keystore
Unique certificates.,CertificateStores.UserCertificateStore.Keystore.uniqueCerts,UNSPECIFIED,Default,TRUE,FALSE,FALSE,TRUE,FALSE,configuration.xml,@uniqueCerts,/Configuration/System/CertificateStores/UserCertificateStore/Keystore
Admind enabled ciphersuites.,Admin.EnabledCipherSuites,UNSPECIFIED,Default,"SSL_RSA_WITH_AES_256_CBC_SHA256, SSL_DHE_RSA_WITH_AES_256_CBC_SHA256, SSL_DHE_DSS_WITH_AES_256_CBC_SHA, SSL_DHE_DSS_WITH_AES_256_CBC_SHA256, SSL_DHE_RSA_WITH_AES_256_CBC_SHA, SSL_RSA_WITH_AES_256_CBC_SHA, TLS_EMPTY_RENEGOTIATION_INFO_SCSV, SSL_RSA_WITH_3DES_EDE_CBC_SHA, SSL_DHE_RSA_WITH_3DES_EDE_CBC_SHA, SSL_RSA_WITH_AES_128_CBC_SHA256, SSL_DHE_RSA_WITH_AES_128_CBC_SHA256, SSL_DHE_DSS_WITH_3DES_EDE_CBC_SHA, SSL_DHE_DSS_WITH_AES_128_CBC_SHA256, SSL_DHE_DSS_WITH_AES_128_CBC_SHA, SSL_DHE_RSA_WITH_AES_128_CBC_SHA, SSL_RSA_WITH_AES_128_CBC_SHA",FALSE,FALSE,TRUE,FALSE,admin.properties,Admin.EnabledCipherSuites,NO value
Unique certificates.,CertificateStores.LocalPGPCertificateStore.uniqueCerts,UNSPECIFIED,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@uniqueCerts,/Configuration/System/CertificateStores/LocalPGPCertificateStore
Class name that is an implementation of local PGP certificate store.,CertificateStores.LocalPGPCertificateStore.classname,UNSPECIFIED,Default,com.tumbleweed.st.server.cert.CryptixLocalPGPCertificateStoreImpl,FALSE,FALSE,TRUE,FALSE,configuration.xml,@classname,/Configuration/System/CertificateStores/LocalPGPCertificateStore
Password for local PGP certificates.,CertificateStores.LocalPGPCertificateStore.Keystore.password,UNSPECIFIED,Default,{AES128}wR1hF5Uhr/54M2Y4Nu70ovf+WwNecz+BX3xGzEt7rbQ=,FALSE,FALSE,TRUE,TRUE,configuration.xml,@password,/Configuration/System/CertificateStores/LocalPGPCertificateStore/Keystore
The keystore provider for local PGP certificates. By default is Cryptix.,CertificateStores.LocalPGPCertificateStore.Keystore.provider,UNSPECIFIED,Default,Cryptix,FALSE,FALSE,TRUE,FALSE,configuration.xml,@provider,/Configuration/System/CertificateStores/LocalPGPCertificateStore/Keystore
Define a partner certificate store where partner local PGP certificates are stored. Possible values are PGPKeyring and PGPKeystore.,CertificateStores.LocalPGPCertificateStore.Keystore.type,UNSPECIFIED,Default,PGPKeyring,FALSE,FALSE,TRUE,FALSE,configuration.xml,@type,/Configuration/System/CertificateStores/LocalPGPCertificateStore/Keystore
Unique certificates.,CertificateStores.AccountLocalCertificateStore.uniqueCerts,UNSPECIFIED,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@uniqueCerts,/Configuration/System/CertificateStores/AccountLocalCertificateStore
Class name that is an implementation of account local certificate store.,CertificateStores.AccountLocalCertificateStore.classname,UNSPECIFIED,Default,com.tumbleweed.st.server.cert.AccountLocalCertificateStoreImpl,FALSE,FALSE,TRUE,FALSE,configuration.xml,@classname,/Configuration/System/CertificateStores/AccountLocalCertificateStore
Password for account local certificates.,CertificateStores.AccountLocalCertificateStore.Keystore.password,UNSPECIFIED,Default,{AES128}wR1hF5Uhr/54M2Y4Nu70ovf+WwNecz+BX3xGzEt7rbQ=,FALSE,FALSE,TRUE,TRUE,configuration.xml,@password,/Configuration/System/CertificateStores/AccountLocalCertificateStore/Keystore
Keystore type for user account local certificate store.,CertificateStores.AccountLocalCertificateStore.Keystore.type,UNSPECIFIED,Default,AccountLocal,FALSE,FALSE,TRUE,FALSE,configuration.xml,@type,/Configuration/System/CertificateStores/AccountLocalCertificateStore/Keystore
Unique certificates.,CertificateStores.AccountLocalPGPCertificateStore.uniqueCerts,UNSPECIFIED,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@uniqueCerts,/Configuration/System/CertificateStores/AccountLocalPGPCertificateStore
Class name that is an implementation of account local PGP certificate store.,CertificateStores.AccountLocalPGPCertificateStore.classname,UNSPECIFIED,Default,com.tumbleweed.st.server.cert.AccountLocalPGPCertificateStoreImpl,FALSE,FALSE,TRUE,FALSE,configuration.xml,@classname,/Configuration/System/CertificateStores/AccountLocalPGPCertificateStore
Password for account local PGP certificates.,CertificateStores.AccountLocalPGPCertificateStore.Keystore.password,UNSPECIFIED,Default,{AES128}wR1hF5Uhr/54M2Y4Nu70ovf+WwNecz+BX3xGzEt7rbQ=,FALSE,FALSE,TRUE,TRUE,configuration.xml,@password,/Configuration/System/CertificateStores/AccountLocalPGPCertificateStore/Keystore
The keystore provider for trusted certificates. By default is Cryptix.,CertificateStores.AccountLocalPGPCertificateStore.Keystore.provider,UNSPECIFIED,Default,Cryptix,FALSE,FALSE,TRUE,FALSE,configuration.xml,@provider,/Configuration/System/CertificateStores/AccountLocalPGPCertificateStore/Keystore
Unique certificates.,CertificateStores.PartnerPGPCertificateStore.uniqueCerts,UNSPECIFIED,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@uniqueCerts,/Configuration/System/CertificateStores/PartnerPGPCertificateStore
Class name that is an implementation of the partner PGP certificate store.,CertificateStores.PartnerPGPCertificateStore.classname,UNSPECIFIED,Default,com.tumbleweed.st.server.cert.CryptixPartnerPGPCertificateStoreImpl,FALSE,FALSE,TRUE,FALSE,configuration.xml,@classname,/Configuration/System/CertificateStores/PartnerPGPCertificateStore
Password for partner PGP certificates.,CertificateStores.PartnerPGPCertificateStore.Keystore.password,UNSPECIFIED,Default,{AES128}wR1hF5Uhr/54M2Y4Nu70ovf+WwNecz+BX3xGzEt7rbQ=,FALSE,FALSE,TRUE,TRUE,configuration.xml,@password,/Configuration/System/CertificateStores/PartnerPGPCertificateStore/Keystore
The keystore provider for trusted certificates. By default is Cryptix.,CertificateStores.PartnerPGPCertificateStore.Keystore.provider,UNSPECIFIED,Default,Cryptix,FALSE,FALSE,TRUE,FALSE,configuration.xml,@provider,/Configuration/System/CertificateStores/PartnerPGPCertificateStore/Keystore
Unique certificates.,CertificateStores.TrustedCertificateStore.uniqueCerts,UNSPECIFIED,Default,NO value,FALSE,FALSE,FALSE,FALSE,configuration.xml,@uniqueCerts,/Configuration/System/CertificateStores/TrustedCertificateStore
Class name that is an implementation of the trusted certificate store.,CertificateStores.TrustedCertificateStore.classname,UNSPECIFIED,Default,com.tumbleweed.st.server.cert.STCertificateStoreImpl,FALSE,FALSE,TRUE,FALSE,configuration.xml,@classname,/Configuration/System/CertificateStores/TrustedCertificateStore
The path to the SecureTransport HSM keystore.,CertificateStores.TrustedCertificateStore.Directory.certStoreDir.path,UNSPECIFIED,Default,/lib/certs/issuers,FALSE,FALSE,TRUE,FALSE,configuration.xml,@path,"/Configuration/System/CertificateStores/TrustedCertificateStore/Directory[@alias=""certStoreDir""]"
This is the ST installation home directory.,CertificateStores.TrustedCertificateStore.Directory.certStoreDir.relative,UNSPECIFIED,Default,fdHome,FALSE,FALSE,TRUE,FALSE,configuration.xml,@relative,"/Configuration/System/CertificateStores/TrustedCertificateStore/Directory[@alias=""certStoreDir""]"
Password for trusted certificates.,CertificateStores.TrustedCertificateStore.Keystore.password,UNSPECIFIED,Default,{AES128}wR1hF5Uhr/54M2Y4Nu70ovf+WwNecz+BX3xGzEt7rbQ=,FALSE,FALSE,TRUE,TRUE,configuration.xml,@password,/Configuration/System/CertificateStores/TrustedCertificateStore/Keystore
"Certificate stores can be of three types - local, partner and trusted.",CertificateStores.TrustedCertificateStore.Keystore.type,UNSPECIFIED,Default,Trusted,FALSE,FALSE,TRUE,FALSE,configuration.xml,@type,/Configuration/System/CertificateStores/TrustedCertificateStore/Keystore
The default path is /lib/certs/db/ca-key.pem.,CertificateStores.CertificateAuthority.File.cakeyFile.path,UNSPECIFIED,Default,/lib/certs/db/ca-key.pem,FALSE,FALSE,TRUE,FALSE,configuration.xml,@path,"/Configuration/System/CertificateStores/CertificateAuthority/File[@alias=""cakeyFile""]"
This is the ST installation home directory.,CertificateStores.CertificateAuthority.File.cakeyFile.relative,UNSPECIFIED,Default,fdHome,FALSE,FALSE,TRUE,FALSE,configuration.xml,@relative,"/Configuration/System/CertificateStores/CertificateAuthority/File[@alias=""cakeyFile""]"
The default path is /lib/certs/db/ca-crt.pem.,CertificateStores.CertificateAuthority.File.cacrtFile.path,UNSPECIFIED,Default,/lib/certs/db/ca-crt.pem,FALSE,FALSE,TRUE,FALSE,configuration.xml,@path,"/Configuration/System/CertificateStores/CertificateAuthority/File[@alias=""cacrtFile""]"
This is the ST installation home directory.,CertificateStores.CertificateAuthority.File.cacrtFile.relative,UNSPECIFIED,Default,fdHome,FALSE,FALSE,TRUE,FALSE,configuration.xml,@relative,"/Configuration/System/CertificateStores/CertificateAuthority/File[@alias=""cacrtFile""]"
The default path is /lib/certs/db/serial.,CertificateStores.CertificateAuthority.File.caserialFile.path,UNSPECIFIED,Default,/lib/certs/db/serial,FALSE,FALSE,TRUE,FALSE,configuration.xml,@path,"/Configuration/System/CertificateStores/CertificateAuthority/File[@alias=""caserialFile""]"
This is the ST installation home directory.,CertificateStores.CertificateAuthority.File.caserialFile.relative,UNSPECIFIED,Default,fdHome,FALSE,FALSE,TRUE,FALSE,configuration.xml,@relative,"/Configuration/System/CertificateStores/CertificateAuthority/File[@alias=""caserialFile""]"
The ssl key algorithm used. SunX509 by default.,AgentServers.Ssl.keyAlgorithm,UNSPECIFIED,Default,IbmX509,FALSE,FALSE,TRUE,FALSE,configuration.xml,@keyAlgorithm,/Configuration/System/AgentServers/Ssl
The ssl protocol used. TLS by default.,AgentServers.Ssl.protocol,UNSPECIFIED,Default,TLSv1.2,FALSE,FALSE,TRUE,FALSE,configuration.xml,@protocol,/Configuration/System/AgentServers/Ssl
The ssl trust algorithm used. SunX509 by default.,AgentServers.Ssl.trustAlgorithm,UNSPECIFIED,Default,IbmX509,FALSE,FALSE,TRUE,FALSE,configuration.xml,@trustAlgorithm,/Configuration/System/AgentServers/Ssl
"OutboundConnections.connectTimeout (along with OutboundConnections.receiveTimeout) helps to increase the timeout settings
					  for the FTP(S) and HTTP(S). The default value for each parameter is 25 seconds.",OutboundConnections.connectTimeout,UNSPECIFIED,Default,25,FALSE,FALSE,TRUE,FALSE,configuration.xml,@connectTimeout,/Configuration/System/OutboundConnections
